"Label (Grouping)","HOUSEHOLDS BY TYPE!!Total households!!Average household size","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old","EDUCATIONAL ATTAINMENT!!Population 25 years and over","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree","COMPUTERS AND INTERNET USE!!Total households!!With a computer","COMPUTERS AND INTERNET USE!!Total households!!With a broadband Internet subscription"
"    Estimate","3.05","1,715","10","2","64","49","91,186","5,263","4,422","15,801","19,313","6,223","23,846","16,318","43,419","41,399"
"    Percent","(X)","1,715","(X)","(X)","(X)","(X)","91,186","5.8%","4.8%","17.3%","21.2%","6.8%","26.2%","17.9%","97.9%","93.3%"
"Garden Grove city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.58","2,027","17","0","79","34","122,099","13,988","14,344","32,193","21,714","9,682","24,066","6,112","45,228","42,576"
"    Percent","(X)","2,027","(X)","(X)","(X)","(X)","122,099","11.5%","11.7%","26.4%","17.8%","7.9%","19.7%","5.0%","95.5%","89.9%"
"Glendale city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.66","1,871","0","0","46","37","147,676","10,538","7,739","36,787","17,633","15,113","38,842","21,024","67,502","63,341"
"    Percent","(X)","1,871","(X)","(X)","(X)","(X)","147,676","7.1%","5.2%","24.9%","11.9%","10.2%","26.3%","14.2%","91.0%","85.4%"
"Hawthorne city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.11","1,426","7","0","92","33","54,970","6,917","6,227","12,379","12,132","3,879","9,187","4,249","26,198","24,960"
"    Percent","(X)","1,426","(X)","(X)","(X)","(X)","54,970","12.6%","11.3%","22.5%","22.1%","7.1%","16.7%","7.7%","95.3%","90.8%"
"Hayward city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.26","1,692","9","0","74","21","111,419","7,277","10,696","30,699","22,260","9,378","22,654","8,455","45,476","42,706"
"    Percent","(X)","1,692","(X)","(X)","(X)","(X)","111,419","6.5%","9.6%","27.6%","20.0%","8.4%","20.3%","7.6%","95.1%","89.3%"
"Hemet city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.98","N","N","N","N","N","57,327","6,701","6,282","19,487","14,925","3,959","3,591","2,382","25,568","23,535"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","57,327","11.7%","11.0%","34.0%","26.0%","6.9%","6.3%","4.2%","90.0%","82.8%"
"Hesperia city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.52","954","26","9","57","46","58,563","3,809","8,270","20,541","11,821","5,475","5,990","2,657","26,173","25,707"
"    Percent","(X)","954","(X)","(X)","(X)","(X)","58,563","6.5%","14.1%","35.1%","20.2%","9.3%","10.2%","4.5%","96.3%","94.6%"
"Huntington Beach city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.63","2,460","19","0","63","65","147,580","5,824","5,882","26,988","34,319","14,091","36,361","24,115","73,872","69,125"
"    Percent","(X)","2,460","(X)","(X)","(X)","(X)","147,580","3.9%","4.0%","18.3%","23.3%","9.5%","24.6%","16.3%","98.1%","91.8%"
"Indio city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.86","N","N","N","N","N","63,334","2,992","7,314","15,033","15,880","5,700","10,350","6,065","30,753","29,823"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","63,334","4.7%","11.5%","23.7%","25.1%","9.0%","16.3%","9.6%","96.8%","93.9%"
"Inglewood city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.06","1,012","15","0","57","30","73,221","9,144","7,432","17,823","17,076","4,295","12,925","4,526","32,580","30,561"
"    Percent","(X)","1,012","(X)","(X)","(X)","(X)","73,221","12.5%","10.2%","24.3%","23.3%","5.9%","17.7%","6.2%","94.6%","88.7%"
"Irvine city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.68","3,832","14","0","56","54","186,687","1,765","3,804","12,768","24,238","14,389","73,060","56,663","102,940","99,879"
"    Percent","(X)","3,832","(X)","(X)","(X)","(X)","186,687","0.9%","2.0%","6.8%","13.0%","7.7%","39.1%","30.4%","98.5%","95.6%"
"Jurupa Valley city, California","","","","","","","","","","","","","","","",""
"    Estimate","4.42","1,561","11","0","98","36","64,938","11,966","6,868","19,580","12,187","4,231","7,383","2,723","23,280","22,251"
"    Percent","(X)","1,561","(X)","(X)","(X)","(X)","64,938","18.4%","10.6%","30.2%","18.8%","6.5%","11.4%","4.2%","94.8%","90.6%"
"Laguna Niguel city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.67","609","8","0","58","35","48,025","1,157","1,226","4,626","9,994","4,584","16,372","10,066","24,507","23,820"
"    Percent","(X)","609","(X)","(X)","(X)","(X)","48,025","2.4%","2.6%","9.6%","20.8%","9.5%","34.1%","21.0%","99.1%","96.4%"
"Lake Elsinore city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.72","1,188","53","34","113","21","41,316","3,687","1,697","12,896","10,393","3,145","7,297","2,201","18,221","16,869"
"    Percent","(X)","1,188","(X)","(X)","(X)","(X)","41,316","8.9%","4.1%","31.2%","25.2%","7.6%","17.7%","5.3%","97.7%","90.5%"
"Lake Forest city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.99","1,092","7","0","77","52","59,734","1,288","1,628","7,679","13,330","5,404","19,843","10,562","27,417","27,346"
"    Percent","(X)","1,092","(X)","(X)","(X)","(X)","59,734","2.2%","2.7%","12.9%","22.3%","9.0%","33.2%","17.7%","96.3%","96.1%"
"Lakewood city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.14","1,094","9","0","57","62","53,290","2,338","2,116","11,072","14,010","6,386","12,059","5,309","24,382","22,741"
"    Percent","(X)","1,094","(X)","(X)","(X)","(X)","53,290","4.4%","4.0%","20.8%","26.3%","12.0%","22.6%","10.0%","96.8%","90.2%"
"Lancaster city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.06","1,161","10","0","65","7","98,924","7,158","10,060","29,330","24,792","9,345","11,943","6,296","43,877","41,432"
"    Percent","(X)","1,161","(X)","(X)","(X)","(X)","98,924","7.2%","10.2%","29.6%","25.1%","9.4%","12.1%","6.4%","89.1%","84.2%"
"Livermore city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.94","978","32","0","119","7","62,929","1,842","1,098","10,194","13,686","6,503","18,711","10,895","29,871","29,017"
"    Percent","(X)","978","(X)","(X)","(X)","(X)","62,929","2.9%","1.7%","16.2%","21.7%","10.3%","29.7%","17.3%","97.8%","95.0%"
"Lodi city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.94","502","29","0","64","15","43,274","5,067","2,623","12,355","10,958","4,350","5,321","2,600","21,460","20,960"
"    Percent","(X)","502","(X)","(X)","(X)","(X)","43,274","11.7%","6.1%","28.6%","25.3%","10.1%","12.3%","6.0%","94.4%","92.2%"
"Long Beach city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.74","5,608","30","8","57","45","317,851","35,871","26,465","59,280","71,408","20,214","70,284","34,329","158,856","146,663"
"    Percent","(X)","5,608","(X)","(X)","(X)","(X)","317,851","11.3%","8.3%","18.7%","22.5%","6.4%","22.1%","10.8%","95.9%","88.5%"
"Los Angeles city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.78","43,931","22","15","52","36","2,777,962","366,306","231,555","528,710","476,606","178,634","661,928","334,223","1,320,222","1,227,084"
"    Percent","(X)","43,931","(X)","(X)","(X)","(X)","2,777,962","13.2%","8.3%","19.0%","17.2%","6.4%","23.8%","12.0%","94.4%","87.7%"
"Lynwood city, California","","","","","","","","","","","","","","","",""
"    Estimate","4.39","1,001","25","43","69","22","42,281","9,881","8,678","12,083","6,625","1,548","3,078","388","14,682","10,064"
"    Percent","(X)","1,001","(X)","(X)","(X)","(X)","42,281","23.4%","20.5%","28.6%","15.7%","3.7%","7.3%","0.9%","97.0%","66.5%"
"Madera city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.95","557","30","0","83","0","35,274","10,275","4,384","6,802","8,077","3,098","1,601","1,037","15,657","14,686"
"    Percent","(X)","557","(X)","(X)","(X)","(X)","35,274","29.1%","12.4%","19.3%","22.9%","8.8%","4.5%","2.9%","94.2%","88.3%"
"Manteca city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.16","884","13","0","108","0","55,182","2,711","3,399","16,346","15,853","5,453","8,028","3,392","24,987","23,454"
"    Percent","(X)","884","(X)","(X)","(X)","(X)","55,182","4.9%","6.2%","29.6%","28.7%","9.9%","14.5%","6.1%","95.9%","90.0%"
"Menifee city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.22","1,001","11","0","82","31","62,182","4,054","2,952","18,947","16,150","7,053","8,463","4,563","27,696","26,891"
"    Percent","(X)","1,001","(X)","(X)","(X)","(X)","62,182","6.5%","4.7%","30.5%","26.0%","11.3%","13.6%","7.3%","94.3%","91.6%"
"Merced city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.30","1,089","47","97","65","19","48,448","6,681","6,088","12,383","11,048","5,179","4,502","2,567","23,614","23,314"
"    Percent","(X)","1,089","(X)","(X)","(X)","(X)","48,448","13.8%","12.6%","25.6%","22.8%","10.7%","9.3%","5.3%","94.4%","93.2%"
"Milpitas city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.13","1,268","17","0","82","63","64,249","3,243","3,983","8,690","7,109","5,684","22,055","13,485","25,442","25,088"
"    Percent","(X)","1,268","(X)","(X)","(X)","(X)","64,249","5.0%","6.2%","13.5%","11.1%","8.8%","34.3%","21.0%","97.7%","96.3%"
"Mission Viejo city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.73","461","0","0","44","17","70,524","1,340","2,289","9,393","15,545","6,869","22,185","12,903","33,371","32,836"
"    Percent","(X)","461","(X)","(X)","(X)","(X)","70,524","1.9%","3.2%","13.3%","22.0%","9.7%","31.5%","18.3%","98.1%","96.5%"
"Modesto city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.98","3,221","47","0","108","43","142,499","12,394","11,233","45,444","37,315","10,738","18,076","7,299","68,142","65,308"
"    Percent","(X)","3,221","(X)","(X)","(X)","(X)","142,499","8.7%","7.9%","31.9%","26.2%","7.5%","12.7%","5.1%","95.5%","91.6%"
"Moreno Valley city, California","","","","","","","","","","","","","","","",""
"    Estimate","4.07","2,598","36","0","87","15","127,582","13,257","16,563","36,660","33,467","9,334","12,437","5,864","50,590","48,006"
"    Percent","(X)","2,598","(X)","(X)","(X)","(X)","127,582","10.4%","13.0%","28.7%","26.2%","7.3%","9.7%","4.6%","96.9%","91.9%"
"Mountain View city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.32","737","0","0","48","17","62,026","1,818","2,176","5,202","5,481","2,748","19,949","24,652","34,407","32,656"
"    Percent","(X)","737","(X)","(X)","(X)","(X)","62,026","2.9%","3.5%","8.4%","8.8%","4.4%","32.2%","39.7%","97.0%","92.1%"
"Murrieta city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.42","N","N","N","N","N","74,352","858","4,349","16,615","23,328","7,030","14,621","7,551","32,925","32,324"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","74,352","1.2%","5.8%","22.3%","31.4%","9.5%","19.7%","10.2%","97.4%","95.7%"
"Napa city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.67","978","20","0","52","71","56,644","5,050","3,439","11,051","12,726","4,356","12,474","7,548","27,823","25,892"
"    Percent","(X)","978","(X)","(X)","(X)","(X)","56,644","8.9%","6.1%","19.5%","22.5%","7.7%","22.0%","13.3%","96.5%","89.8%"
"Newport Beach city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.27","N","N","N","N","N","63,200","565","1,446","4,709","11,704","4,412","22,744","17,620","36,174","36,027"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","63,200","0.9%","2.3%","7.5%","18.5%","7.0%","36.0%","27.9%","97.7%","97.3%"
"Norwalk city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.85","684","13","0","40","17","70,347","8,597","6,663","20,095","14,730","4,707","12,625","2,930","25,488","24,340"
"    Percent","(X)","684","(X)","(X)","(X)","(X)","70,347","12.2%","9.5%","28.6%","20.9%","6.7%","17.9%","4.2%","97.1%","92.7%"
"Oakland city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.54","5,187","28","8","60","31","315,220","22,728","21,641","53,150","46,364","17,222","87,799","66,316","153,091","141,338"
"    Percent","(X)","5,187","(X)","(X)","(X)","(X)","315,220","7.2%","6.9%","16.9%","14.7%","5.5%","27.9%","21.0%","90.9%","83.9%"
"Oceanside city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.90","2,535","34","0","97","39","122,368","10,948","7,332","24,167","31,292","11,780","23,407","13,442","57,789","56,452"
"    Percent","(X)","2,535","(X)","(X)","(X)","(X)","122,368","8.9%","6.0%","19.7%","25.6%","9.6%","19.1%","11.0%","95.9%","93.7%"
"Ontario city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.69","3,368","58","0","112","37","118,368","14,378","15,735","29,815","29,145","8,494","14,973","5,828","48,562","44,800"
"    Percent","(X)","3,368","(X)","(X)","(X)","(X)","118,368","12.1%","13.3%","25.2%","24.6%","7.2%","12.6%","4.9%","97.3%","89.8%"
"Orange city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.01","1,533","8","0","48","61","93,854","6,839","7,748","15,040","21,373","5,826","24,739","12,289","41,661","40,514"
"    Percent","(X)","1,533","(X)","(X)","(X)","(X)","93,854","7.3%","8.3%","16.0%","22.8%","6.2%","26.4%","13.1%","95.8%","93.2%"
"Oxnard city, California","","","","","","","","","","","","","","","",""
"    Estimate","4.09","2,043","36","44","60","18","132,858","27,462","8,393","40,143","21,852","8,796","19,004","7,208","47,512","42,721"
"    Percent","(X)","2,043","(X)","(X)","(X)","(X)","132,858","20.7%","6.3%","30.2%","16.4%","6.6%","14.3%","5.4%","93.6%","84.2%"
"Palmdale city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.73","1,811","25","14","85","21","92,436","11,922","10,484","27,505","20,232","7,006","11,979","3,308","39,083","37,088"
"    Percent","(X)","1,811","(X)","(X)","(X)","(X)","92,436","12.9%","11.3%","29.8%","21.9%","7.6%","13.0%","3.6%","94.1%","89.3%"
"Palo Alto city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.57","679","1","0","50","58","45,742","789","586","1,396","3,170","1,088","14,118","24,595","24,582","24,123"
"    Percent","(X)","679","(X)","(X)","(X)","(X)","45,742","1.7%","1.3%","3.1%","6.9%","2.4%","30.9%","53.8%","97.7%","95.8%"
"Pasadena city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.42","1,433","0","1","35","47","108,899","6,771","4,419","15,602","14,438","5,774","33,701","28,194","54,231","51,126"
"    Percent","(X)","1,433","(X)","(X)","(X)","(X)","108,899","6.2%","4.1%","14.3%","13.3%","5.3%","30.9%","25.9%","95.7%","90.2%"
"Perris city, California","","","","","","","","","","","","","","","",""
"    Estimate","4.49","1,144","49","14","102","23","47,476","10,761","3,737","15,418","9,613","2,736","4,011","1,200","16,606","15,566"
"    Percent","(X)","1,144","(X)","(X)","(X)","(X)","47,476","22.7%","7.9%","32.5%","20.2%","5.8%","8.4%","2.5%","94.4%","88.5%"
"Pittsburg city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.39","1,207","28","0","71","71","48,909","6,515","4,888","13,864","9,193","3,506","7,407","3,536","19,952","19,640"
"    Percent","(X)","1,207","(X)","(X)","(X)","(X)","48,909","13.3%","10.0%","28.3%","18.8%","7.2%","15.1%","7.2%","93.8%","92.3%"
"Pleasanton city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.81","796","0","0","115","23","57,891","1,434","995","5,442","7,272","4,307","21,175","17,266","28,523","28,055"
"    Percent","(X)","796","(X)","(X)","(X)","(X)","57,891","2.5%","1.7%","9.4%","12.6%","7.4%","36.6%","29.8%","98.4%","96.8%"
"Pomona city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.62","1,974","44","32","52","51","97,239","14,745","12,452","23,700","22,333","5,939","13,684","4,386","38,671","34,788"
"    Percent","(X)","1,974","(X)","(X)","(X)","(X)","97,239","15.2%","12.8%","24.4%","23.0%","6.1%","14.1%","4.5%","95.3%","85.7%"
"Rancho Cordova city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.00","1,081","24","45","53","70","47,602","1,707","3,939","10,668","12,581","4,870","9,615","4,222","23,919","23,187"
"    Percent","(X)","1,081","(X)","(X)","(X)","(X)","47,602","3.6%","8.3%","22.4%","26.4%","10.2%","20.2%","8.9%","96.0%","93.1%"
"Rancho Cucamonga city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.93","2,361","23","0","109","14","122,525","4,699","5,701","22,399","32,707","12,730","27,515","16,774","57,397","54,694"
"    Percent","(X)","2,361","(X)","(X)","(X)","(X)","122,525","3.8%","4.7%","18.3%","26.7%","10.4%","22.5%","13.7%","96.5%","91.9%"
"Redding city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.39","1,454","37","0","114","55","63,972","826","2,909","14,769","21,711","8,329","10,935","4,493","34,666","31,726"
"    Percent","(X)","1,454","(X)","(X)","(X)","(X)","63,972","1.3%","4.5%","23.1%","33.9%","13.0%","17.1%","7.0%","91.8%","84.0%"
"Redlands city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.63","744","0","0","65","29","51,258","1,162","3,356","6,831","9,247","3,472","12,390","14,800","24,541","22,699"
"    Percent","(X)","744","(X)","(X)","(X)","(X)","51,258","2.3%","6.5%","13.3%","18.0%","6.8%","24.2%","28.9%","94.0%","86.9%"
"Redondo Beach city, California","","","","","","","","","","","","","","","",""
