"Label (Grouping)","HOUSEHOLDS BY TYPE!!Total households!!Average household size","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree","COMPUTERS AND INTERNET USE!!Total households!!With a computer","COMPUTERS AND INTERNET USE!!Total households!!With a broadband Internet subscription"
"    Percent","(X)","2.0%","14.0%","33.9%","23.5%","98.2%","95.4%"
"Richardson city, Texas","","","","","","",""
"    Estimate","2.73","3,060","9,001","26,919","16,754","42,958","41,911"
"    Percent","(X)","3.8%","11.3%","33.7%","21.0%","99.2%","96.7%"
"Round Rock city, Texas","","","","","","",""
"    Estimate","3.12","2,999","17,902","24,373","7,591","42,180","41,440"
"    Percent","(X)","3.5%","20.8%","28.3%","8.8%","99.1%","97.3%"
"Rowlett city, Texas","","","","","","",""
"    Estimate","3.03","1,706","9,719","11,673","4,792","21,913","21,430"
"    Percent","(X)","3.7%","21.1%","25.3%","10.4%","99.8%","97.6%"
"San Angelo city, Texas","","","","","","",""
"    Estimate","2.49","4,590","16,837","9,195","6,981","34,439","32,609"
"    Percent","(X)","7.3%","26.7%","14.6%","11.1%","93.1%","88.2%"
"San Antonio city, Texas","","","","","","",""
"    Estimate","2.98","89,700","265,981","165,821","96,682","478,012","425,878"
"    Percent","(X)","8.9%","26.3%","16.4%","9.6%","93.3%","83.1%"
"Sugar Land city, Texas","","","","","","",""
"    Estimate","2.95","2,721","11,689","27,230","20,538","39,716","38,398"
"    Percent","(X)","3.3%","14.3%","33.2%","25.1%","99.1%","95.8%"
"Temple city, Texas","","","","","","",""
"    Estimate","2.66","4,935","13,251","8,054","6,604","26,789","25,286"
"    Percent","(X)","9.6%","25.8%","15.7%","12.9%","93.0%","87.7%"
"The Woodlands CDP, Texas","","","","","","",""
"    Estimate","2.79","1,099","10,002","28,076","19,440","40,320","39,910"
"    Percent","(X)","1.4%","12.7%","35.5%","24.6%","96.4%","95.4%"
"Tyler city, Texas","","","","","","",""
"    Estimate","2.71","3,842","12,136","15,813","6,961","35,419","30,322"
"    Percent","(X)","5.5%","17.4%","22.7%","10.0%","94.4%","80.9%"
"Victoria city, Texas","","","","","","",""
"    Estimate","3.02","3,615","13,295","4,944","3,522","19,758","16,230"
"    Percent","(X)","8.5%","31.2%","11.6%","8.3%","90.6%","74.4%"
"Waco city, Texas","","","","","","",""
"    Estimate","2.59","7,688","20,575","12,982","7,139","46,567","42,472"
"    Percent","(X)","10.0%","26.7%","16.8%","9.3%","92.2%","84.1%"
"Wichita Falls city, Texas","","","","","","",""
"    Estimate","2.46","6,361","22,701","8,323","6,203","32,845","30,985"
"    Percent","(X)","9.7%","34.7%","12.7%","9.5%","88.0%","83.0%"
"Layton city, Utah","","","","","","",""
"    Estimate","3.08","1,421","11,494","11,768","5,586","24,665","23,825"
"    Percent","(X)","3.0%","24.2%","24.8%","11.7%","97.5%","94.1%"
"Lehi city, Utah","","","","","","",""
"    Estimate","3.78","708","5,196","11,350","5,279","18,332","17,786"
"    Percent","(X)","2.0%","14.6%","31.9%","14.8%","99.6%","96.6%"
"Ogden city, Utah","","","","","","",""
"    Estimate","2.79","4,625","16,582","8,101","3,819","28,664","27,569"
"    Percent","(X)","8.6%","30.8%","15.0%","7.1%","94.0%","90.4%"
"Orem city, Utah","","","","","","",""
"    Estimate","3.27","1,759","8,217","15,510","6,484","28,818","26,511"
"    Percent","(X)","3.3%","15.5%","29.2%","12.2%","98.1%","90.2%"
"Provo city, Utah","","","","","","",""
"    Estimate","3.05","1,160","7,472","15,115","6,663","33,756","25,254"
"    Percent","(X)","2.4%","15.5%","31.4%","13.9%","98.0%","73.3%"
"St. George city, Utah","","","","","","",""
"    Estimate","2.88","2,084","11,051","10,397","6,378","29,196","28,147"
"    Percent","(X)","3.8%","19.9%","18.7%","11.5%","94.7%","91.3%"
"Salt Lake City city, Utah","","","","","","",""
"    Estimate","2.37","6,954","25,666","35,748","28,839","78,468","72,519"
"    Percent","(X)","5.1%","18.7%","26.1%","21.1%","95.9%","88.6%"
"Sandy city, Utah","","","","","","",""
"    Estimate","3.08","1,416","11,702","19,381","9,606","29,968","28,721"
"    Percent","(X)","2.2%","18.0%","29.7%","14.7%","96.3%","92.3%"
"South Jordan city, Utah","","","","","","",""
"    Estimate","3.73","1,175","7,385","13,792","6,429","20,380","19,241"
"    Percent","(X)","2.6%","16.3%","30.4%","14.2%","99.2%","93.7%"
"West Jordan city, Utah","","","","","","",""
"    Estimate","3.28","4,300","21,994","14,128","5,120","34,984","33,801"
"    Percent","(X)","6.1%","31.2%","20.1%","7.3%","98.9%","95.6%"
"West Valley City city, Utah","","","","","","",""
"    Estimate","3.66","7,794","27,435","10,905","2,083","35,106","33,761"
"    Percent","(X)","9.6%","33.9%","13.5%","2.6%","95.3%","91.6%"
"Alexandria city, Virginia","","","","","","",""
"    Estimate","2.23","4,829","12,753","38,790","41,947","68,106","65,428"
"    Percent","(X)","3.9%","10.4%","31.7%","34.2%","95.9%","92.1%"
"Arlington CDP, Virginia","","","","","","",""
"    Estimate","2.08","3,794","12,598","60,917","70,155","107,630","103,460"
"    Percent","(X)","2.2%","7.2%","34.8%","40.1%","96.2%","92.5%"
"Centreville CDP, Virginia","","","","","","",""
"    Estimate","2.85","649","6,538","15,182","12,327","23,161","22,889"
"    Percent","(X)","1.4%","14.3%","33.1%","26.9%","99.5%","98.3%"
"Chesapeake city, Virginia","","","","","","",""
"    Estimate","2.76","11,459","40,613","32,329","20,623","84,048","79,413"
"    Percent","(X)","7.0%","24.7%","19.6%","12.5%","96.7%","91.4%"
"Dale City CDP, Virginia","","","","","","",""
"    Estimate","3.58","3,613","10,923","9,335","6,272","20,366","19,895"
"    Percent","(X)","7.4%","22.2%","19.0%","12.8%","98.6%","96.3%"
"Hampton city, Virginia","","","","","","",""
"    Estimate","2.33","5,528","27,376","14,510","9,398","52,008","47,767"
"    Percent","(X)","6.1%","30.1%","15.9%","10.3%","93.5%","85.9%"
"Lynchburg city, Virginia","","","","","","",""
"    Estimate","2.51","4,647","10,908","10,760","6,597","27,940","26,975"
"    Percent","(X)","10.0%","23.4%","23.1%","14.1%","96.5%","93.2%"
"Newport News city, Virginia","","","","","","",""
"    Estimate","2.41","7,869","35,611","18,141","12,628","66,443","60,865"
"    Percent","(X)","6.7%","30.4%","15.5%","10.8%","93.7%","85.8%"
"Norfolk city, Virginia","","","","","","",""
"    Estimate","2.45","12,749","39,397","28,822","17,838","81,678","73,239"
"    Percent","(X)","8.4%","25.9%","18.9%","11.7%","92.4%","82.9%"
"Portsmouth city, Virginia","","","","","","",""
"    Estimate","2.49","6,366","18,627","9,064","4,666","33,571","31,644"
"    Percent","(X)","10.0%","29.3%","14.2%","7.3%","93.0%","87.7%"
"Richmond city, Virginia","","","","","","",""
"    Estimate","2.44","17,354","35,423","38,741","25,490","81,418","73,754"
"    Percent","(X)","10.6%","21.7%","23.7%","15.6%","90.6%","82.1%"
"Roanoke city, Virginia","","","","","","",""
"    Estimate","2.39","4,915","24,386","9,459","6,879","35,580","32,035"
"    Percent","(X)","7.1%","35.5%","13.8%","10.0%","87.2%","78.5%"
"Suffolk city, Virginia","","","","","","",""
"    Estimate","2.65","4,124","15,761","12,269","7,171","32,162","29,058"
"    Percent","(X)","6.6%","25.1%","19.5%","11.4%","93.0%","84.0%"
"Virginia Beach city, Virginia","","","","","","",""
"    Estimate","2.52","13,020","58,145","71,164","47,433","169,091","162,381"
"    Percent","(X)","4.2%","18.7%","22.9%","15.3%","96.6%","92.8%"
"Auburn city, Washington","","","","","","",""
"    Estimate","2.74","4,112","15,486","11,212","5,022","28,382","26,339"
"    Percent","(X)","7.6%","28.6%","20.7%","9.3%","95.7%","88.8%"
"Bellevue city, Washington","","","","","","",""
"    Estimate","2.47","1,470","7,674","37,978","38,057","58,669","57,611"
"    Percent","(X)","1.4%","7.2%","35.5%","35.6%","98.9%","97.1%"
"Bellingham city, Washington","","","","","","",""
"    Estimate","2.27","2,281","10,109","16,606","10,426","36,450","34,697"
"    Percent","(X)","3.9%","17.3%","28.4%","17.9%","94.3%","89.7%"
"Everett city, Washington","","","","","","",""
"    Estimate","2.42","4,832","19,741","15,001","5,428","41,834","38,797"
"    Percent","(X)","6.2%","25.2%","19.2%","6.9%","94.6%","87.7%"
"Federal Way city, Washington","","","","","","",""
"    Estimate","2.73","3,788","18,346","12,024","6,073","33,525","31,946"
"    Percent","(X)","6.1%","29.4%","19.3%","9.7%","95.9%","91.3%"
"Kennewick city, Washington","","","","","","",""
"    Estimate","2.66","3,724","15,733","10,410","5,221","29,786","26,497"
"    Percent","(X)","6.6%","28.0%","18.6%","9.3%","95.4%","84.8%"
"Kent city, Washington","","","","","","",""
"    Estimate","2.90","5,487","22,013","16,946","6,822","43,760","42,495"
"    Percent","(X)","6.2%","24.8%","19.1%","7.7%","97.4%","94.5%"
"Kirkland city, Washington","","","","","","",""
"    Estimate","2.54","1,242","7,485","24,291","16,841","35,500","34,109"
"    Percent","(X)","1.9%","11.4%","37.0%","25.7%","98.3%","94.4%"
"Marysville city, Washington","","","","","","",""
"    Estimate","2.85","1,989","14,785","7,728","2,291","23,713","23,065"
"    Percent","(X)","4.3%","31.8%","16.6%","4.9%","96.8%","94.2%"
"Pasco city, Washington","","","","","","",""
"    Estimate","3.27","4,722","11,742","4,963","2,259","21,601","20,701"
"    Percent","(X)","11.2%","27.8%","11.8%","5.4%","95.0%","91.0%"
"Redmond city, Washington","","","","","","",""
"    Estimate","2.40","1,079","3,987","19,161","19,309","29,298","28,691"
"    Percent","(X)","2.1%","7.6%","36.5%","36.8%","98.0%","96.0%"
"Renton city, Washington","","","","","","",""
"    Estimate","2.53","2,626","17,175","16,735","10,322","37,809","37,406"
"    Percent","(X)","3.5%","23.2%","22.6%","13.9%","94.7%","93.7%"
"Sammamish city, Washington","","","","","","",""
"    Estimate","3.07","669","1,767","17,287","15,420","21,346","N"
"    Percent","(X)","1.6%","4.2%","40.9%","36.5%","99.5%","N"
"Seattle city, Washington","","","","","","",""
"    Estimate","2.11","13,807","53,835","208,720","158,749","332,900","320,149"
"    Percent","(X)","2.4%","9.5%","36.9%","28.1%","96.8%","93.1%"
"South Hill CDP, Washington","","","","","","",""
"    Estimate","3.09","2,452","11,450","8,754","4,123","21,026","20,530"
"    Percent","(X)","5.8%","27.2%","20.8%","9.8%","98.4%","96.1%"
"Spokane city, Washington","","","","","","",""
"    Estimate","2.25","9,763","33,110","31,286","17,578","89,038","84,303"
"    Percent","(X)","6.3%","21.3%","20.1%","11.3%","93.5%","88.5%"
"Spokane Valley city, Washington","","","","","","",""
"    Estimate","2.42","2,192","20,846","9,294","5,124","38,820","36,511"
"    Percent","(X)","3.1%","29.7%","13.2%","7.3%","93.6%","88.0%"
"Tacoma city, Washington","","","","","","",""
"    Estimate","2.44","8,616","39,920","32,901","16,837","80,834","75,718"
"    Percent","(X)","5.7%","26.5%","21.9%","11.2%","92.9%","87.0%"
"Vancouver city, Washington","","","","","","",""
"    Estimate","2.42","7,779","31,923","27,294","13,227","70,639","66,628"
"    Percent","(X)","6.1%","24.9%","21.3%","10.3%","93.9%","88.6%"
"Yakima city, Washington","","","","","","",""
"    Estimate","2.73","6,959","15,369","6,541","3,654","30,407","29,346"
"    Percent","(X)","11.8%","26.1%","11.1%","6.2%","91.0%","87.8%"
"Appleton city, Wisconsin","","","","","","",""
"    Estimate","2.35","1,924","11,902","11,722","5,407","29,005","27,193"
"    Percent","(X)","3.9%","24.1%","23.8%","11.0%","93.4%","87.6%"
"Eau Claire city, Wisconsin","","","","","","",""
"    Estimate","2.39","1,041","10,489","9,272","4,878","26,199","25,506"
"    Percent","(X)","2.5%","24.7%","21.8%","11.5%","96.2%","93.7%"
"Green Bay city, Wisconsin","","","","","","",""
"    Estimate","2.34","3,419","21,807","12,088","4,229","38,703","36,843"
"    Percent","(X)","5.0%","31.8%","17.6%","6.2%","90.0%","85.7%"
"Kenosha city, Wisconsin","","","","","","",""
"    Estimate","2.54","3,833","20,177","10,648","6,820","35,646","34,172"
"    Percent","(X)","5.9%","31.0%","16.4%","10.5%","93.7%","89.8%"
"Madison city, Wisconsin","","","","","","",""
"    Estimate","2.17","4,558","23,075","53,138","43,797","110,426","105,614"
"    Percent","(X)","2.7%","13.8%","31.9%","26.3%","96.8%","92.6%"
"Milwaukee city, Wisconsin","","","","","","",""
"    Estimate","2.48","33,111","113,961","62,990","32,791","206,599","183,546"
"    Percent","(X)","8.9%","30.6%","16.9%","8.8%","89.0%","79.1%"
"Oshkosh city, Wisconsin","","","","","","",""
"    Estimate","2.24","3,098","16,177","8,793","2,910","23,966","22,515"
"    Percent","(X)","6.9%","36.1%","19.6%","6.5%","89.4%","84.0%"
"Racine city, Wisconsin","","","","","","",""
"    Estimate","2.40","6,272","16,424","5,603","3,691","28,326","26,229"
"    Percent","(X)","12.7%","33.3%","11.4%","7.5%","90.5%","83.8%"
"Waukesha city, Wisconsin","","","","","","",""
"    Estimate","2.29","1,646","11,377","12,803","6,411","28,731","27,617"
"    Percent","(X)","3.2%","22.5%","25.3%","12.7%","94.6%","91.0%"
"Bayamón zona urbana, Puerto Rico","","","","","","",""
"    Estimate","","","","","","",""
"    Percent","","","","","","",""
"Caguas zona urbana, Puerto Rico","","","","","","",""
"    Estimate","","","","","","",""
"    Percent","","","","","","",""
"Carolina zona urbana, Puerto Rico","","","","","","",""
"    Estimate","","","","","","",""
"    Percent","","","","","","",""
"Guaynabo zona urbana, Puerto Rico","","","","","","",""
"    Estimate","","","","","","",""
"    Percent","","","","","","",""
"Ponce zona urbana, Puerto Rico","","","","","","",""
"    Estimate","","","","","","",""
"    Percent","","","","","","",""
"San Juan zona urbana, Puerto Rico","","","","","","",""
"    Estimate","","","","","","",""
"    Percent","","","","","","",""
